case,mode,policy,dispatch,predicted_value,reached_goal,collision,blocked_by_safety,time,carrier_path_length,scout_path_length,report_time,report_received_timely,route_changed_due_to_report,scout_recovered_at_end,min_carrier_clearance,min_scout_clearance,visual_score
static_hidden_block_useful,clear,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_hidden_block_useful,clear,always,True,,True,False,False,16.75,11.346318777113327,16.15495167058423,4.15,True,True,True,0.354749612352551,0.2869744340319892,19.203928977946386
static_hidden_block_useful,clear,oracle,True,0.6499999999999999,True,False,False,16.75,11.346318777113327,16.15495167058423,4.15,True,True,True,0.354749612352551,0.2869744340319892,19.203928977946386
static_hidden_block_useful,clear,learned,True,0.6461648941040039,True,False,False,16.75,11.346318777113327,16.15495167058423,4.15,True,True,True,0.354749612352551,0.2869744340319892,19.203928977946386
static_hidden_block_useful,blocked,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_hidden_block_useful,blocked,always,True,,True,False,False,16.6,11.082866004405593,13.958857153700654,4.15,True,False,True,0.3065142774191407,0.2869744340319892,18.895818029662603
static_hidden_block_useful,blocked,oracle,True,0.6499999999999999,True,False,False,16.6,11.082866004405593,13.958857153700654,4.15,True,False,True,0.3065142774191407,0.2869744340319892,18.895818029662603
static_hidden_block_useful,blocked,learned,True,0.6461648941040039,True,False,False,16.6,11.082866004405593,13.958857153700654,4.15,True,False,True,0.3065142774191407,0.2869744340319892,18.895818029662603
static_local_known_no_need,clear,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_local_known_no_need,clear,always,True,,True,False,False,16.75,11.346318777113327,16.15495167058423,4.15,True,True,True,0.354749612352551,0.2869744340319892,19.203928977946386
static_local_known_no_need,clear,oracle,False,-0.3500000000000001,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_local_known_no_need,clear,learned,False,-0.3529804050922394,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_local_known_no_need,blocked,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_local_known_no_need,blocked,always,True,,True,False,False,16.6,11.082866004405593,13.958857153700654,4.15,True,False,True,0.3065142774191407,0.2869744340319892,18.895818029662603
static_local_known_no_need,blocked,oracle,False,-0.3500000000000001,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_local_known_no_need,blocked,learned,False,-0.3529804050922394,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_hidden_block_too_late,clear,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_hidden_block_too_late,clear,always,True,,True,False,False,17.55,11.664771316411434,12.886262410934494,4.45,False,False,True,0.2986943263942031,0.3445004534084879,19.839652876297215
static_hidden_block_too_late,clear,oracle,False,-0.3500000000000001,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_hidden_block_too_late,clear,learned,False,-0.326891154050827,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_hidden_block_too_late,blocked,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_hidden_block_too_late,blocked,always,True,,True,False,False,17.55,11.664771316411434,12.886262410934494,4.45,False,False,True,0.2986943263942031,0.3445004534084879,19.839652876297215
static_hidden_block_too_late,blocked,oracle,False,-0.3500000000000001,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
static_hidden_block_too_late,blocked,learned,False,-0.326891154050827,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
moving_blocker_prediction,crossing,never,False,,True,False,False,22.150000000000002,11.770380132700465,11.770380132700465,,False,False,True,0.3721982519874094,,24.033260821232076
moving_blocker_prediction,crossing,always,True,,True,False,False,22.150000000000002,11.879555288473691,15.083448123859428,4.45,True,False,True,0.3372483269574472,0.262219438114181,24.642962416278934
moving_blocker_prediction,crossing,oracle,True,0.6000000000000001,True,False,False,22.150000000000002,11.879555288473691,15.083448123859428,4.45,True,False,True,0.3372483269574472,0.262219438114181,24.642962416278934
moving_blocker_prediction,crossing,learned,True,0.6036213636398315,True,False,False,22.150000000000002,11.879555288473691,15.083448123859428,4.45,True,False,True,0.3372483269574472,0.262219438114181,24.642962416278934
moving_blocker_prediction,clearing,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
moving_blocker_prediction,clearing,always,True,,True,False,False,17.05,11.463406659722855,16.760575799065887,4.45,True,True,True,0.3721982519874094,0.262219438114181,19.601975213916237
moving_blocker_prediction,clearing,oracle,True,0.6000000000000001,True,False,False,17.05,11.463406659722855,16.760575799065887,4.45,True,True,True,0.3721982519874094,0.262219438114181,19.601975213916237
moving_blocker_prediction,clearing,learned,True,0.6036213636398315,True,False,False,17.05,11.463406659722855,16.760575799065887,4.45,True,True,True,0.3721982519874094,0.262219438114181,19.601975213916237
moving_cost_prediction,pulse_at_crossing,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
moving_cost_prediction,pulse_at_crossing,always,True,,True,False,False,16.55,11.070569859394585,14.368045276263299,4.4,True,False,True,0.31816789205754625,0.2603362491316539,18.86913970251526
moving_cost_prediction,pulse_at_crossing,oracle,True,0.6499999999999999,True,False,False,16.55,11.070569859394585,14.368045276263299,4.4,True,False,True,0.31816789205754625,0.2603362491316539,18.86913970251526
moving_cost_prediction,pulse_at_crossing,learned,True,0.6605010032653809,True,False,False,16.55,11.070569859394585,14.368045276263299,4.4,True,False,True,0.31816789205754625,0.2603362491316539,18.86913970251526
moving_cost_prediction,pulse_moving_away,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
moving_cost_prediction,pulse_moving_away,always,True,,True,False,False,17.0,11.458517498359269,16.848707838405776,4.4,True,True,True,0.3721982519874094,0.2603362491316539,20.3147078997979
moving_cost_prediction,pulse_moving_away,oracle,True,0.6499999999999999,True,False,False,17.0,11.458517498359269,16.848707838405776,4.4,True,True,True,0.3721982519874094,0.2603362491316539,20.3147078997979
moving_cost_prediction,pulse_moving_away,learned,True,0.6605010032653809,True,False,False,17.0,11.458517498359269,16.848707838405776,4.4,True,True,True,0.3721982519874094,0.2603362491316539,20.3147078997979
moving_blocker_stale_report,crossing,never,False,,True,False,False,30.75,14.517531155989314,14.517531155989314,,False,False,True,0.3051845253904245,,33.07280498495829
moving_blocker_stale_report,crossing,always,True,,True,False,False,30.75,14.556005565711661,16.34777286819419,4.65,False,False,True,0.30518442499723286,0.3445004534084879,33.586466928662816
moving_blocker_stale_report,crossing,oracle,False,-0.3999999999999999,True,False,False,30.75,14.517531155989314,14.517531155989314,,False,False,True,0.3051845253904245,,33.07280498495829
moving_blocker_stale_report,crossing,learned,False,-0.47195205092430115,True,False,False,30.75,14.517531155989314,14.517531155989314,,False,False,True,0.3051845253904245,,33.07280498495829
moving_blocker_stale_report,clearing,never,False,,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
moving_blocker_stale_report,clearing,always,True,,True,False,False,17.55,11.664771316411434,12.854307035214697,4.65,False,False,True,0.2986943263942031,0.3445004534084879,19.887735553754027
moving_blocker_stale_report,clearing,oracle,False,-0.3999999999999999,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
moving_blocker_stale_report,clearing,learned,False,-0.47195205092430115,True,False,False,16.55,11.375287611598486,11.375287611598486,,False,False,True,0.28866411181156415,,18.37004601785576
