split,method,episodes,success,team_cost,risk_cvar_95,material_risk,bytes,duplicate_sensing,disjoint_support,lookahead_gain
ood_test,independent,1,1.0,1.2181004141093605,0.3097953132257131,0.3097953132257131,0.0,3.0,10.0,0.2
ood_test,raw_broadcast,1,1.0,1.2064368290126262,0.30849118538510184,0.30849118538510184,900.0,2.55,11.2,0.32
ood_test,compact_broadcast,1,1.0,1.1515239530116175,0.286352816759383,0.286352816759383,180.0,2.1,12.4,0.44
ood_test,novelty_mi,1,1.0,1.156924272738051,0.28864853960859443,0.28864853960859443,100.0,1.65,13.6,0.56
ood_test,need_request_match,1,1.0,1.110399396636586,0.2682193201289072,0.2682193201289072,80.0,1.2,14.8,0.6799999999999999
ood_test,full_coph,1,1.0,1.1043298136354356,0.26964036461610397,0.26964036461610397,70.0,0.75,16.0,0.8
test,independent,1,0.0,1.2275668405859819,0.31877357034545617,0.31877357034545617,0.0,3.0,10.0,0.2
test,raw_broadcast,1,1.0,1.211341190579341,0.2956610082642061,0.2956610082642061,900.0,2.55,11.2,0.32
test,compact_broadcast,1,1.0,1.1510107194647647,0.28930212777788356,0.28930212777788356,180.0,2.1,12.4,0.44
test,novelty_mi,1,1.0,1.1293992736520444,0.2797882933730792,0.2797882933730792,100.0,1.65,13.6,0.56
test,need_request_match,1,0.0,1.1017852558470305,0.28530059566512755,0.28530059566512755,80.0,1.2,14.8,0.6799999999999999
test,full_coph,1,1.0,1.084369109242773,0.27529220789768366,0.27529220789768366,70.0,0.75,16.0,0.8
